feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_16,0.5,1000.0,30.0,full,18,1448.922593307873,1448.922593307873,22.049373428494395,22.049373428494395,1.0,1
IEEE_34,bus_16,0.5,1000.0,30.0,upper,12,1717.6846095113565,1717.6846095113567,27.34516255990851,27.34516255990851,0.9999999999999998,1
IEEE_34,bus_16,0.5,1000.0,30.0,diagonal,6,4464.955985217983,4464.955985217984,88.44407676344235,88.44407676344237,0.9999999999999999,1
IEEE_34,bus_16,0.5,1000.0,40.0,full,18,458.18955481307205,458.189554813072,6.972624101363808,6.972624101363808,1.0000000000000002,1
IEEE_34,bus_16,0.5,1000.0,40.0,upper,12,543.1795667872809,543.1795667872809,8.647299667687145,8.647299667687145,1.0,1
IEEE_34,bus_16,0.5,1000.0,40.0,diagonal,6,1411.9430565689922,1411.9430565689922,27.968472812325103,27.968472812325103,1.0,1
IEEE_34,bus_16,0.5,1000.0,50.0,full,18,144.89225933078734,144.89225933078734,2.2049373428494397,2.204937342849439,1.0,1
IEEE_34,bus_16,0.5,1000.0,50.0,upper,12,171.7684609511357,171.76846095113567,2.734516255990851,2.734516255990851,1.0000000000000002,1
IEEE_34,bus_16,0.5,1000.0,50.0,diagonal,6,446.49559852179823,446.49559852179823,8.844407676344238,8.844407676344238,1.0,1
IEEE_34,bus_16,0.5,1000.0,inf,full,18,2.1638691234218647e-147,nan,4.191475826911626e-149,nan,nan,1
IEEE_34,bus_16,0.5,1000.0,inf,upper,12,2.3596586017190855e-147,nan,4.6203143504566295e-149,nan,nan,1
IEEE_34,bus_16,0.5,1000.0,inf,diagonal,6,2.6452658782403936e-147,nan,5.2397241847177805e-149,nan,nan,1
IEEE_34,bus_16,0.5,2000.0,20.0,full,18,9147.291611089382,9147.291611089382,138.95002791857337,138.95002791857337,1.0,1
IEEE_34,bus_16,0.5,2000.0,20.0,upper,12,10843.574787180703,10843.574787180703,172.26908293223508,172.2690829322351,1.0,1
IEEE_34,bus_16,0.5,2000.0,20.0,diagonal,6,28285.956590395916,28285.956590395916,558.6136175766384,558.6136175766385,1.0,1
IEEE_34,bus_16,0.5,2000.0,30.0,full,18,2892.6275912793576,2892.6275912793576,43.939856916667715,43.93985691666771,1.0,1
IEEE_34,bus_16,0.5,2000.0,30.0,upper,12,3429.0394305866625,3429.0394305866625,54.47626724943009,54.47626724943009,1.0,1
IEEE_34,bus_16,0.5,2000.0,30.0,diagonal,6,8944.804862230163,8944.804862230161,176.64913635284478,176.64913635284472,1.0000000000000002,1
IEEE_34,bus_16,0.5,2000.0,40.0,full,18,914.7291611089382,914.7291611089382,13.895002791857333,13.895002791857333,1.0,1
IEEE_34,bus_16,0.5,2000.0,40.0,upper,12,1084.3574787180703,1084.3574787180703,17.22690829322351,17.22690829322351,1.0,1
IEEE_34,bus_16,0.5,2000.0,40.0,diagonal,6,2828.595659039592,2828.595659039593,55.86136175766386,55.86136175766386,0.9999999999999998,1
IEEE_34,bus_16,0.5,2000.0,50.0,full,18,289.2627591279358,289.2627591279358,4.393985691666772,4.393985691666772,1.0,1
IEEE_34,bus_16,0.5,2000.0,50.0,upper,12,342.9039430586663,342.9039430586663,5.447626724943009,5.447626724943009,1.0,1
IEEE_34,bus_16,0.5,2000.0,50.0,diagonal,6,894.4804862230159,894.4804862230159,17.664913635284464,17.66491363528447,1.0,1
IEEE_34,bus_16,0.5,2000.0,inf,full,18,4.3375292388289903e-147,nan,8.377355393203795e-149,nan,nan,1
IEEE_34,bus_16,0.5,2000.0,inf,upper,12,4.732667662219462e-147,nan,9.239292655058432e-149,nan,nan,1
IEEE_34,bus_16,0.5,2000.0,inf,diagonal,6,5.310374240182409e-147,nan,1.048710352944784e-148,nan,nan,1
IEEE_34,bus_16,0.5,5000.0,20.0,full,18,22843.50671474353,22843.506714743526,346.6231342514939,346.6231342514938,1.0000000000000002,1
IEEE_34,bus_16,0.5,5000.0,20.0,upper,12,27078.916067471182,27078.916067471182,429.6597811168744,429.6597811168744,1.0,1
