dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,299,0.400,2000.0,40.0,inf,17.232396,38.656837,1.000253
pscad,300,0.400,2000.0,inf,20.0,87.500000,65.328117,0.978845
pscad,301,0.400,2000.0,inf,30.0,14.994218,11.109366,1.012205
pscad,302,0.400,2000.0,inf,40.0,12.242379,38.718409,0.976083
pscad,303,0.400,2000.0,inf,inf,22.936693,43.885648,0.987191
pscad,304,0.400,5000.0,20.0,20.0,87.500000,99.975000,5.232214
pscad,305,0.400,5000.0,20.0,30.0,34.363505,99.975000,5.109429
pscad,306,0.400,5000.0,20.0,40.0,23.308915,99.975000,4.577607
pscad,307,0.400,5000.0,20.0,inf,87.500000,99.975000,5.156477
pscad,308,0.400,5000.0,30.0,20.0,87.500000,99.975000,4.543482
pscad,309,0.400,5000.0,30.0,30.0,3.387770,99.975000,4.808256
pscad,310,0.400,5000.0,30.0,40.0,24.028607,99.975000,4.720366
pscad,311,0.400,5000.0,30.0,inf,27.867189,99.975000,4.798615
pscad,312,0.400,5000.0,40.0,20.0,78.394032,99.975000,4.457841
pscad,313,0.400,5000.0,40.0,30.0,38.312046,99.975000,4.815865
pscad,314,0.400,5000.0,40.0,40.0,4.323801,99.975000,4.823418
pscad,315,0.400,5000.0,40.0,inf,7.253401,99.975000,4.806652
pscad,316,0.400,5000.0,inf,20.0,137.500000,99.975000,5.076060
pscad,317,0.400,5000.0,inf,30.0,12.452428,99.975000,4.692782
pscad,318,0.400,5000.0,inf,40.0,7.602212,99.975000,4.817898
pscad,319,0.400,5000.0,inf,inf,1.251485,99.975000,4.819469
pscad,320,0.500,100.0,20.0,20.0,12.957363,23.655209,7.672140
pscad,321,0.500,100.0,20.0,30.0,1.116229,9.505614,7.622667
pscad,322,0.500,100.0,20.0,40.0,5.260402,7.363445,7.436409
pscad,323,0.500,100.0,20.0,inf,1.019451,13.463488,7.450137
pscad,324,0.500,100.0,30.0,20.0,2.846740,13.562590,7.591539
pscad,325,0.500,100.0,30.0,30.0,0.837543,9.563078,7.594999
pscad,326,0.500,100.0,30.0,40.0,1.202601,13.469518,7.463274
pscad,327,0.500,100.0,30.0,inf,1.149850,9.560001,7.529821
pscad,328,0.500,100.0,40.0,20.0,3.169189,15.514922,7.449013
pscad,329,0.500,100.0,40.0,30.0,0.018296,11.534375,7.480068
pscad,330,0.500,100.0,40.0,40.0,1.624947,9.555160,7.487983
pscad,331,0.500,100.0,40.0,inf,0.548690,11.576610,7.507307
pscad,332,0.500,100.0,inf,20.0,3.678454,15.686140,7.393104
pscad,333,0.500,100.0,inf,30.0,1.359018,9.626862,7.468994
pscad,334,0.500,100.0,inf,40.0,0.060094,11.518667,7.496925
pscad,335,0.500,100.0,inf,inf,0.287733,13.164154,7.509120
pscad,336,0.500,500.0,20.0,20.0,17.589996,27.422715,0.678965
pscad,337,0.500,500.0,20.0,30.0,22.436149,29.437144,0.834977
pscad,338,0.500,500.0,20.0,40.0,7.347176,9.355773,0.966878
pscad,339,0.500,500.0,20.0,inf,14.773082,15.199579,1.170174
pscad,340,0.500,500.0,30.0,20.0,4.590555,2.646730,0.815358
pscad,341,0.500,500.0,30.0,30.0,9.838320,8.974703,0.990628
pscad,342,0.500,500.0,30.0,40.0,1.783624,0.746199,0.974698
pscad,343,0.500,500.0,30.0,inf,4.462320,3.049724,1.045056
pscad,344,0.500,500.0,40.0,20.0,19.235703,17.107648,0.710889
pscad,345,0.500,500.0,40.0,30.0,0.340401,1.283883,0.933910
pscad,346,0.500,500.0,40.0,40.0,1.695635,0.695685,0.957117
pscad,347,0.500,500.0,40.0,inf,0.439947,3.091153,0.943631
pscad,348,0.500,500.0,inf,20.0,32.589606,43.733542,0.717323
pscad,349,0.500,500.0,inf,30.0,5.561859,7.148708,1.049685
pscad,350,0.500,500.0,inf,40.0,0.263213,1.312523,0.973922
pscad,351,0.500,500.0,inf,inf,0.224118,1.258102,0.956737
pscad,352,0.500,1000.0,20.0,20.0,36.612890,99.980000,11.170541
pscad,353,0.500,1000.0,20.0,30.0,1.125121,99.980000,11.346861
pscad,354,0.500,1000.0,20.0,40.0,66.823991,99.980000,10.978492
pscad,355,0.500,1000.0,20.0,inf,61.070846,99.980000,11.142325
pscad,356,0.500,1000.0,30.0,20.0,11.988369,28.141318,12.446926
pscad,357,0.500,1000.0,30.0,30.0,1.226180,99.980000,11.122292
pscad,358,0.500,1000.0,30.0,40.0,10.709878,99.980000,11.104195
pscad,359,0.500,1000.0,30.0,inf,12.851933,99.980000,11.120999
pscad,360,0.500,1000.0,40.0,20.0,1.061698,99.980000,11.314651
pscad,361,0.500,1000.0,40.0,30.0,10.017591,99.980000,11.122276
pscad,362,0.500,1000.0,40.0,40.0,6.846121,99.980000,11.081899
pscad,363,0.500,1000.0,40.0,inf,0.994109,99.980000,11.078152
pscad,364,0.500,1000.0,inf,20.0,31.955490,99.980000,11.083375
pscad,365,0.500,1000.0,inf,30.0,7.846071,99.980000,11.131499
pscad,366,0.500,1000.0,inf,40.0,2.763768,99.980000,11.088718
pscad,367,0.500,1000.0,inf,inf,2.886337,29.495245,12.069962
